"stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","unique_storm_number"
88,2016-06-26 03:23:00,2016-06-26 07:09:00,1.218,3.76666666666667,0.323362831858407,2.208,1.788,1.608,1.27,0.966,1111.69400592914,14.1185138753,1072.48723333983,13.6205878634159,0,0,0,0.734,178
89,2016-07-29 01:46:00,2016-07-29 03:18:00,0.956,1.53333333333333,0.623478260869565,2.076,1.902,1.876,1.6,0.947,978.759656882975,15.6601545101276,917.076452476187,14.673223239619,0,0,0,0,181
90,2016-09-10 04:29:00,2016-09-10 16:17:00,0.571,11.8,0.0483898305084746,0.78,0.552,0.44,0.4,0.254,419.001459180418,1.67600583672167,424.093639042336,1.69637455616934,0,0,0,0,185
91,2016-09-21 20:40:00,2016-09-22 09:11:00,1.374,12.5166666666667,0.109773635153129,1.128,0.672,0.448,0.382,0.315,899.817831167087,3.43730411505827,969.22681200399,3.70244642185524,0,0,0,0.571,191
92,2016-10-26 05:14:00,2016-10-27 04:17:00,1.107,23.05,0.0480260303687636,0.324,0.324,0.324,0.288,0.261,573.665487226155,1.65215660321133,670.93461946125,1.9322917040484,0,0,0,0,192
93,2016-11-28 00:07:00,2016-11-28 06:34:00,0.54,6.45,0.0837209302325581,0.324,0.27,0.288,0.252,0.207,298.289497319297,0.751689533244629,349.857548323163,0.881641021774371,0,0,0,0,193
94,2016-11-28 13:44:00,2016-11-29 00:15:00,0.864,10.5166666666667,0.0821553090332805,0.216,0.216,0.216,0.162,0.126,404.502479907011,0.655294017449357,503.135813988038,0.815080018660622,0.54,0.54,0.54,0.54,194
95,2016-12-25 17:14:00,2016-12-26 05:41:00,0.612,12.45,0.0491566265060241,0.432,0.378,0.288,0.18,0.162,311.534932719376,0.560762878894878,351.572778082909,0.632831000549236,0,0,0,0,197
96,2017-01-19 19:00:00,2017-01-20 12:12:00,0.171,17.2,0.00994186046511628,0.108,0.108,0.108,0.09,0.072,68.0653276860433,0.0612587949174389,74.80442906009,0.067323986154081,0,0,0,0,200
97,2017-01-21 00:15:00,2017-01-22 03:42:00,0.027,27.45,0.000983606557377049,0.108,0.054,0.036,0.018,0.009,13.1364500624254,0.00236456101123658,5.18507340918446,0.000933313213653202,0.171,0.171,0.171,0.171,201
98,2017-01-22 08:43:00,2017-01-22 08:44:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0.018,0.045,0.198,0.198,202
99,2017-01-23 08:10:00,2017-01-25 04:46:00,0.027,44.6,0.000605381165919282,0.108,0.054,0.036,0.018,0.009,13.1822836198668,0.00237281105157603,6.02091448051393,0.00108376460649251,0,0.018,0.198,0.198,203
100,2017-02-14 11:15:00,2017-02-14 11:16:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
101,2017-02-17 11:30:00,2017-02-17 11:31:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
102,2017-02-18 07:45:00,2017-02-18 07:46:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
103,2017-02-19 08:30:00,2017-02-19 08:31:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
104,2017-02-20 17:49:00,2017-02-21 02:01:00,0.198,8.2,0.0241463414634146,0.216,0.216,0.18,0.144,0.099,86.4938326324475,0.124551118990724,95.7316671493202,0.137853600695021,0,0,0,0,210
105,2017-02-28 00:30:00,2017-02-28 12:47:00,0.18,12.2833333333333,0.0146540027137042,0.216,0.162,0.144,0.108,0.072,77.2491492929607,0.0834290812363976,87.3197524911899,0.094305332690485,0,0,0.036,0.198,213
106,2017-02-28 22:17:00,2017-03-01 03:07:00,0.144,4.83333333333333,0.0297931034482759,0.216,0.162,0.108,0.09,0.054,60.2292646357893,0.0542063381722104,68.2246830502683,0.0614022147452415,0.18,0.18,0.18,0.378,214
107,2017-03-05 14:00:00,2017-03-06 16:13:00,0.009,26.2166666666667,0.000343293070565798,0.108,0.054,0.036,0.018,0.009,7.57481557866821,0.00136346680416028,7.44680101051262,0.00134042418189227,0,0,0.324,0.522,215
108,2017-03-07 00:09:00,2017-03-07 01:39:00,0.172,1.5,0.114666666666667,0.444,0.276,0.216,0.182,0.145,107.07999498712,0.194885590876558,118.899221771155,0.216396583623502,0.009,0.009,0.333,0.369,216
109,2017-03-24 15:00:00,2017-03-25 05:53:00,0.504,14.8833333333333,0.0338633818589026,0.324,0.27,0.216,0.144,0.099,213.597146872758,0.307579891496771,254.796405405344,0.366906823783696,0,0,0,0,218
