"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
147,"ESW1-54",11.9,26.1,6.01,0.03,0.63,0.18,0.23,0.59,5288,2015-11-30 23:18:00,2015-12-02 08:30:00,2015-11-30 23:20:00,2015-12-02 08:30:00,0.11,5288,0
150,"ESW1-55a",1079.3,34.9,8.56,0.1,5.74,0.3,2.01,5.64,11526,2015-12-13 04:51:00,2015-12-13 15:50:00,2015-12-13 04:51:00,2015-12-13 15:50:00,0.66,11526,0
151,"ESW1-55b",4610,109.7,43.72,0.24,25.12,1.96,8.74,24.88,63660,2015-12-13 15:50:00,2015-12-15 23:09:00,2015-12-13 15:50:00,2015-12-15 23:09:00,1.65,63660,0
153,"ESW1-55d",39.3,11.1,2.92,0.02,0.58,0.1,0.16,0.57,3888,2015-12-16 05:27:00,2015-12-17 04:31:00,2015-12-16 05:27:00,2015-12-17 08:15:00,0.11,3888,0
154,"ESW1-56",114,18.7,4.89,0.04,1.01,0.17,0.36,0.97,6523,2015-12-23 11:00:00,2015-12-24 09:30:00,2015-12-23 11:00:00,2015-12-24 09:30:00,0.18,6523,0
156,"ESW1-57b",1.2,1.8,0.29,0.06,0.16,0.06,0.07,0.1,3110,2016-02-20 10:45:00,2016-02-21 11:30:00,2016-02-20 10:45:00,2016-02-21 11:30:00,0.17,3110,1
157,"EsW1-57c",0.4,1.3,0.19,0.02,0.09,0.03,0.04,0.07,1305,2016-02-21 11:30:00,2016-02-22 02:22:00,2016-02-21 11:30:00,2016-02-22 02:22:00,0.04,1305,1
160,"ESW1-58b",3.4,2.1,0.2,0.04,0.15,0.03,0.04,0.11,1529,2016-03-06 20:00:00,2016-03-07 03:30:00,2016-03-06 20:00:00,2016-03-07 03:30:00,0.08,1529,0
161,"ESW1-58c",336.3,13.7,3.69,0.21,2.32,0.31,0.71,2.12,17375,2016-03-07 03:30:00,2016-03-08 05:19:00,2016-03-07 03:30:00,2016-03-08 05:19:00,0.54,17375,0
162,"ESW1-58d",248.5,21.8,6.58,0.23,2.22,0.29,0.62,1.99,10644,2016-03-08 05:19:00,2016-03-09 02:14:00,2016-03-08 05:19:00,2016-03-09 02:14:00,0.28,10644,0
