"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
105,"ESW2-33a",173,16.4,1.19,1.83,5.26,0.79,1.24,6.46,3.43,23890,2015-03-08 14:15:00,2015-03-08 14:15:00,2015-03-08 14:00:00,2015-03-09 11:59:00,3.78,23890,1
106,"ESW2-33b",618.3,23.5,0.3,1.71,7.1,0.79,1.94,7.4,5.39,24097,2015-03-09 11:59:00,2015-03-09 11:59:00,2015-03-09 11:59:00,2015-03-10 10:15:00,1.76,24097,1
107,"ESW2-33c",0,0,0,0,0,0,0,0,0,1676,2015-03-10 10:15:00,2015-03-10 10:15:00,2015-03-10 10:15:00,2015-03-11 03:00:00,0.18,1676,1
109,"ESW2-34a",30.2,2.8,0.02,0.13,0.51,0.04,0.1,0.53,0.38,2298,2015-04-09 04:00:00,2015-04-09 04:00:00,2015-04-09 03:00:00,2015-04-09 13:45:00,0.38,2298,0
110,"ESW2-34b",21.4,2,0.01,0.09,0.36,0.03,0.07,0.38,0.27,8908,2015-04-09 13:45:00,2015-04-09 13:45:00,2015-04-09 13:45:00,2015-04-09 19:01:00,1.46,8908,0
111,"ESW2-34c",305.5,3.7,0.24,0.03,1.48,0.03,0.56,1.72,1.45,16554,2015-04-09 19:01:00,2015-04-09 19:01:00,2015-04-09 19:01:00,2015-04-10 01:03:00,3.59,16554,0
115,"ESW2-35",2977.7,4.3,2.75,0.18,12.28,0.19,4.3,15.04,12.11,7862,2015-05-17 16:47:00,2015-05-17 16:47:00,2015-05-17 16:46:00,2015-05-17 23:15:00,6.19,7862,0
116,"ESW2-36",2353.9,13.6,15.25,0.79,9.29,0.35,3.14,24.55,8.51,16183,2015-05-24 19:13:00,2015-05-24 19:13:00,2015-05-24 19:08:00,2015-05-25 04:32:00,4.97,16183,0
118,"ESW2-37",237.9,5.1,3.62,0.12,1.7,0.06,0.44,5.32,1.58,2722,2015-05-26 15:13:00,2015-05-26 15:13:00,2015-05-26 15:13:00,2015-05-26 20:30:00,0.97,2722,0
120,"ESW2-39",1228.4,74.7,69.71,0.72,8.76,1.23,3.14,78.47,8.04,30292,2015-05-29 21:13:00,2015-05-29 21:13:00,2015-05-29 21:13:00,2015-06-01 10:45:00,3.92,30292,0
122,"ESW2-40",13560.7,3.1,2.43,0.42,36.38,0.4,15.99,38.81,35.96,17531,2015-06-08 13:45:00,2015-06-08 13:45:00,2015-06-08 13:45:00,2015-06-09 07:30:00,12.69,17531,0
123,"ESW2-41",2977.4,87.4,76.93,0.76,19.47,2.34,7.31,96.4,18.71,75980,2015-06-11 11:58:00,2015-06-11 11:58:00,2015-06-11 11:45:00,2015-06-13 11:00:00,4.53,75980,0
124,"ESW2-42",14296.3,27.5,10.35,0.88,47.79,1.49,17.24,58.14,46.91,63660,2015-06-15 15:37:00,2015-06-15 15:37:00,2015-06-15 15:35:00,2015-06-17 13:00:00,16.66,63660,0
125,"ESW2-43",585.4,1.7,0.19,0.05,1.83,0.04,0.73,2.02,1.78,3335,2015-06-22 11:23:00,2015-06-22 11:23:00,2015-06-22 11:15:00,2015-06-23 12:00:00,1.9,3335,0
127,"ESW2-44",182.5,3.8,0.02,0.01,0.75,0.5,0.92,0.77,0.74,6540,2015-09-19 00:36:00,2015-09-19 00:36:00,2015-09-19 00:35:00,2015-09-19 10:00:00,1.21,6540,0
128,"ESW2-45",5.6,2.7,0.13,0,0.18,0.13,0.15,0.31,0.18,1434,2015-10-31 11:00:00,2015-10-31 11:00:00,2015-10-31 10:56:00,2015-11-01 01:00:00,0.0895,1434,0
129,"ESW2-46",11.6,16.4,1.42,0.07,1.11,0.11,0.19,2.53,1.04,2229,2015-11-17 17:02:00,2015-11-17 17:02:00,2015-11-17 17:02:00,2015-11-19 14:00:00,0.0555,2229,0
130,"ESW2-47",215.2,213.2,29.54,9.51,24.45,3.13,4.3,53.99,14.95,31337,2015-11-26 14:30:00,2015-11-26 14:30:00,2015-11-26 14:27:00,2015-11-28 03:45:00,1,31337,0
131,"ESW2-48",439.7,153.9,24.47,6.79,16.76,2.68,3.82,41.23,9.98,26317,2015-11-30 23:00:00,2015-11-30 23:00:00,2015-11-30 23:00:00,2015-12-04 02:00:00,0.61,26317,0
135,"ESW2-49a",1672.5,81.3,18.85,2.75,17.66,2.21,6.45,36.51,14.91,27199,2015-12-13 04:40:00,2015-12-13 04:40:00,2015-12-13 04:40:00,2015-12-13 13:05:00,1.64,27199,0
136,"ESW2-49b",12901.9,399.8,113.69,18.14,118.93,16.61,45.99,232.62,100.79,204621,2015-12-13 13:05:00,2015-12-13 13:05:00,2015-12-13 13:05:00,2015-12-15 12:00:00,5.5,204621,0
